geo_id,tract,total_18_to_64_2018_ALL,total_18_to_64_2018_BLACK,total_18_to_64_2018_LATINX,total_18_to_64_2018_WHITE,percent_18_to_64_2018_BLACK,percent_18_to_64_2018_LATINX,percent_18_to_64_2018_WHITE,total_18_to_over_2018_ALL,total_18_to_over_2018_BLACK,total_18_to_over_2018_LATINX,total_18_to_over_2018_WHITE,percent_18_to_over_2018_BLACK,percent_18_to_over_2018_LATINX,percent_18_to_over_2018_WHITE,total_assoc_to_higher_2018_ALL,percent_assoc_to_higher_2018_ALL,total_bach_to_higher_2018_ALL,total_bach_to_higher_2018_BLACK,total_bach_to_higher_2018_LATINX,total_bach_to_higher_2018_WHITE,percent_bach_to_higher_2018_ALL,percent_bach_to_higher_2018_BLACK,percent_bach_to_higher_2018_LATINX,percent_bach_to_higher_2018_WHITE, median_income_all_2018 , median_income_black_2018 , median_income_latinx_2018 , median_income_white_2018 ,totalbelowpov_18_to_64_2018,totalbelowpov_black_2018,totalbelowpov_latinx_2018,totalbelowpov_white_2018,pctbelowpov_18_to_64_2018,pctbelowpov_black_2018,pctbelowpov_latinx_2018,pctbelowpov_white_2018
1400000US48201254000,"Census Tract 2540, Harris County, Texas",2298,452,615,1128,19.7%,26.8%,49.1%,2747,462,659,1450,16.8%,24.0%,52.8%,436,17.9%,230,10,0,205,9.4%,4.3%,0.0%,89.1%," $ 47,125.00 ", - ," $ 47,614.00 "," $ 49,813.00 ",239,36,57,221,10.4%,3.6%,5.9%,12.3%
1400000US48201254300,"Census Tract 2543, Harris County, Texas",3192,630,1709,788,19.7%,53.5%,24.7%,3573,677,1897,934,18.9%,53.1%,26.1%,435,14.8%,168,14,53,101,5.7%,8.3%,31.5%,60.1%," $ 44,899.00 "," $ 23,513.00 "," $ 47,926.00 "," $ 62,168.00 ",610,429,725,105,19.1%,43.4%,24.5%,8.9%
1400000US48201310600,"Census Tract 3106, Harris County, Texas",3872,196,3241,355,5.1%,83.7%,9.2%,4510,196,3805,429,4.3%,84.4%,9.5%,909,23.6%,616,46,250,234,16.0%,7.5%,40.6%,38.0%," $ 34,587.00 "," $ 19,886.00 "," $ 33,717.00 "," $ 65,694.00 ",555,67,984,24,14.3%,25.4%,19.3%,4.9%
1400000US48201312000,"Census Tract 3120, Harris County, Texas",4722,1568,657,1564,33.2%,13.9%,33.1%,5041,1756,666,1681,34.8%,13.2%,33.3%,923,66.9%,909,525,59,155,65.9%,57.8%,6.5%,17.1%," $ 74,219.00 "," $ 91,250.00 "," $ 107,292.00 "," $ 49,570.00 ",136,75,21,45,14.3%,8.6%,11.8%,14.2%
1400000US48201211100,"Census Tract 2111, Harris County, Texas",3725,1635,1994,96,43.9%,53.5%,2.6%,4554,2284,2172,98,50.2%,47.7%,2.2%,558,14.0%,467,351,116,0,11.7%,75.2%,24.8%,0.0%," $ 28,475.00 "," $ 30,793.00 "," $ 25,345.00 ", - ,1336,542,1903,8,35.9%,21.7%,57.0%,6.6%
1400000US48201313500,"Census Tract 3135, Harris County, Texas",1714,1437,214,50,83.8%,12.5%,2.9%,2069,1728,257,71,83.5%,12.4%,3.4%,237,14.3%,187,156,20,5,11.3%,83.4%,10.7%,2.7%," $ 40,357.00 "," $ 38,750.00 ", - ," $ 130,192.00 ",565,724,291,16,33.0%,31.2%,66.4%,22.5%
1400000US48201313700,"Census Tract 3137, Harris County, Texas",1434,1281,185,25,89.3%,12.9%,1.7%,1924,1764,185,32,91.7%,9.6%,1.7%,385,24.4%,343,297,2,13,21.7%,86.6%,0.6%,3.8%," $ 43,679.00 "," $ 43,214.00 "," $ 78,889.00 ", - ,170,260,0,19,11.9%,12.5%,0.0%,59.4%
1400000US48201323000,"Census Tract 3230, Harris County, Texas",3899,24,3547,328,0.6%,91.0%,8.4%,4315,41,3736,538,1.0%,86.6%,12.5%,209,6.0%,163,0,148,15,4.7%,0.0%,90.8%,9.2%," $ 31,385.00 ", - ," $ 31,659.00 "," $ 30,463.00 ",881,17,2169,174,22.8%,18.1%,33.0%,22.9%
1400000US48201323300,"Census Tract 3233, Harris County, Texas",2341,140,1876,257,6.0%,80.1%,11.0%,2603,176,1964,393,6.8%,75.5%,15.1%,157,7.1%,97,17,37,42,4.4%,17.5%,38.1%,43.3%," $ 34,176.00 "," $ 28,802.00 "," $ 42,578.00 ", - ,490,21,764,76,21.2%,9.1%,25.7%,22.2%
1400000US48201331800,"Census Tract 3318, Harris County, Texas",2364,1905,387,46,80.6%,16.4%,1.9%,2888,2413,387,62,83.6%,13.4%,2.1%,348,14.4%,179,153,0,0,7.4%,85.5%,0.0%,0.0%," $ 32,823.00 "," $ 32,500.00 ", - , - ,818,1400,201,109,34.6%,40.8%,35.8%,87.2%
1400000US48201332100,"Census Tract 3321, Harris County, Texas",2025,906,1103,0,44.7%,54.5%,0.0%,2414,1224,1169,0,50.7%,48.4%,0.0%,205,11.0%,160,130,30,0,8.6%,81.3%,18.8%,0.0%," $ 36,781.00 "," $ 37,288.00 "," $ 35,438.00 ", - ,468,299,582,0,23.1%,20.6%,30.6%,-
1400000US48201333000,"Census Tract 3330, Harris County, Texas",2244,34,2027,170,1.5%,90.3%,7.6%,2575,34,2245,283,1.3%,87.2%,11.0%,291,13.7%,185,0,127,45,8.7%,0.0%,68.6%,24.3%," $ 59,321.00 ", - ," $ 60,518.00 "," $ 43,750.00 ",189,57,324,50,8.4%,79.2%,10.7%,16.2%
1400000US48201333700,"Census Tract 3337, Harris County, Texas",2107,205,1678,137,9.7%,79.6%,6.5%,2347,211,1782,201,9.0%,75.9%,8.6%,146,7.2%,78,7,24,25,3.8%,9.0%,30.8%,32.1%," $ 47,803.00 "," $ 50,417.00 "," $ 45,776.00 "," $ 56,250.00 ",411,42,750,15,19.5%,15.1%,27.6%,7.5%
1400000US48201521900,"Census Tract 5219, Harris County, Texas",4404,270,1781,1874,6.1%,40.4%,42.6%,5473,288,1838,2595,5.3%,33.6%,47.4%,2081,41.5%,1998,39,348,1301,39.8%,2.0%,17.4%,65.1%," $ 80,528.00 "," $ 31,807.00 "," $ 74,615.00 "," $ 95,663.00 ",404,18,177,335,9.3%,6.6%,6.8%,11.4%
1400000US48201533600,"Census Tract 5336, Harris County, Texas",3498,944,2340,97,27.0%,66.9%,2.8%,3794,1031,2476,121,27.2%,65.3%,3.2%,412,12.6%,309,135,128,16,9.4%,43.7%,41.4%,5.2%," $ 32,354.00 "," $ 29,148.00 "," $ 37,775.00 "," $ 29,423.00 ",1022,567,1184,29,29.2%,39.1%,31.6%,22.5%
1400000US48201542500,"Census Tract 5425, Harris County, Texas",1762,98,280,1339,5.6%,15.9%,76.0%,2547,153,331,2012,6.0%,13.0%,79.0%,1232,51.1%,1048,24,115,883,43.5%,2.3%,11.0%,84.3%," $ 73,631.00 ", - ," $ 63,173.00 "," $ 74,555.00 ",54,8,24,57,3.1%,4.0%,5.4%,2.5%
1400000US48201341800,"Census Tract 3418, Harris County, Texas",1349,79,254,952,5.9%,18.8%,70.6%,1601,85,267,1166,5.3%,16.7%,72.8%,484,35.1%,379,10,37,327,27.5%,2.6%,9.8%,86.3%," $ 79,792.00 "," $ 76,071.00 "," $ 52,800.00 "," $ 83,919.00 ",97,0,160,49,7.2%,0.0%,34.3%,3.7%
1400000US48201340100,"Census Tract 3401, Harris County, Texas",4443,995,1310,1342,22.4%,29.5%,30.2%,4800,1075,1365,1511,22.4%,28.4%,31.5%,1255,32.6%,977,121,267,307,25.4%,12.4%,27.3%,31.4%," $ 48,391.00 "," $ 28,333.00 "," $ 50,368.00 "," $ 52,470.00 ",444,211,138,135,10.0%,17.0%,5.6%,7.7%
1400000US48201340500,"Census Tract 3405, Harris County, Texas",4245,442,1296,2060,10.4%,30.5%,48.5%,4997,442,1325,2783,8.8%,26.5%,55.7%,1791,40.5%,1353,164,78,989,30.6%,12.1%,5.8%,73.1%," $ 47,250.00 ", - ," $ 35,352.00 "," $ 57,384.00 ",844,0,617,329,19.9%,0.0%,30.8%,9.4%
1400000US48201342500,"Census Tract 3425, Harris County, Texas",3432,4,806,2585,0.1%,23.5%,75.3%,4526,21,879,3589,0.5%,19.4%,79.3%,1199,29.7%,768,0,0,768,19.0%,0.0%,0.0%,100.0%," $ 77,163.00 ", - ," $ 79,009.00 "," $ 76,410.00 ",179,4,172,102,5.2%,66.7%,13.1%,2.5%
1400000US48201342700,"Census Tract 3427, Harris County, Texas",3234,40,675,2463,1.2%,20.9%,76.2%,3988,42,711,3100,1.1%,17.8%,77.7%,934,30.0%,588,0,82,422,18.9%,0.0%,13.9%,71.8%," $ 65,640.00 ", - ," $ 67,467.00 "," $ 64,286.00 ",198,4,96,231,6.1%,8.0%,9.6%,6.3%
1400000US48201343000,"Census Tract 3430, Harris County, Texas",4716,230,1771,2712,4.9%,37.6%,57.5%,5498,282,2005,3208,5.1%,36.5%,58.3%,1192,26.5%,836,84,273,463,18.6%,10.0%,32.7%,55.4%," $ 65,084.00 ", - ," $ 61,089.00 "," $ 65,921.00 ",689,47,574,462,14.6%,11.1%,19.6%,12.2%
1400000US48201411100,"Census Tract 4111, Harris County, Texas",2046,131,276,1225,6.4%,13.5%,59.9%,2773,131,320,1893,4.7%,11.5%,68.3%,2306,87.1%,2264,98,165,1627,85.5%,4.3%,7.3%,71.9%," $ 164,722.00 ", - ," $ 93,250.00 "," $ 203,646.00 ",128,60,26,61,6.3%,23.7%,5.6%,2.5%
1400000US48201412600,"Census Tract 4126, Harris County, Texas",2315,0,184,1661,0.0%,7.9%,71.7%,2668,0,199,1958,0.0%,7.5%,73.4%,2046,80.2%,2006,0,65,1522,78.6%,0.0%,3.2%,75.9%," 250,000+ ", - ," $ 249,844.00 "," $ 234,519.00 ",8,0,0,35,0.3%,-,0.0%,1.2%
1400000US48201420300,"Census Tract 4203, Harris County, Texas",2472,682,242,1389,27.6%,9.8%,56.2%,2926,742,286,1716,25.4%,9.8%,58.6%,2161,78.9%,2032,473,218,1247,74.2%,23.3%,10.7%,61.4%," $ 106,094.00 "," $ 64,694.00 "," $ 69,013.00 "," $ 138,629.00 ",173,80,43,202,7.0%,10.1%,11.3%,8.5%
1400000US48201421500,"Census Tract 4215, Harris County, Texas",5388,1496,2734,335,27.8%,50.7%,6.2%,5835,1612,2879,455,27.6%,49.3%,7.8%,1479,30.0%,1172,248,365,213,23.8%,21.2%,31.1%,18.2%," $ 29,468.00 "," $ 32,143.00 "," $ 29,808.00 ", - ,1456,391,1334,127,27.1%,18.7%,32.7%,24.9%
1400000US48201531500,"Census Tract 5315, Harris County, Texas",1917,284,951,621,14.8%,49.6%,32.4%,2444,296,1024,1009,12.1%,41.9%,41.3%,949,42.0%,743,51,252,399,32.9%,6.9%,33.9%,53.7%," $ 59,188.00 ", - ," $ 52,321.00 "," $ 64,032.00 ",153,18,99,64,8.0%,5.0%,7.5%,5.5%
1400000US48201531700,"Census Tract 5317, Harris County, Texas",2110,85,282,1648,4.0%,13.4%,78.1%,2610,85,294,2136,3.3%,11.3%,81.8%,1813,72.6%,1689,46,179,1392,67.6%,2.7%,10.6%,82.4%," $ 131,932.00 ", - , - ," $ 128,487.00 ",59,9,0,50,2.8%,8.9%,0.0%,1.9%
1400000US48201312300,"Census Tract 3123, Harris County, Texas",1345,798,275,200,59.3%,20.4%,14.9%,1583,1027,275,201,64.9%,17.4%,12.7%,468,30.9%,432,176,71,150,28.5%,40.7%,16.4%,34.7%," $ 33,854.00 "," $ 26,250.00 ", - ," $ 125,208.00 ",386,533,57,24,28.7%,43.6%,14.0%,11.7%
1400000US48201312800,"Census Tract 3128, Harris County, Texas",1838,1452,125,133,79.0%,6.8%,7.2%,1942,1556,125,133,80.1%,6.4%,6.8%,201,21.3%,181,139,5,8,19.2%,76.8%,2.8%,4.4%," $ 12,260.00 "," $ 12,276.00 "," 2,500- ", - ,539,1002,56,22,61.8%,68.6%,83.6%,62.9%
1400000US48201312900,"Census Tract 3129, Harris County, Texas",3039,2193,224,391,72.2%,7.4%,12.9%,3615,2744,244,396,75.9%,6.7%,11.0%,1172,47.4%,1086,803,36,174,43.9%,73.9%,3.3%,16.0%," $ 39,816.00 "," $ 38,688.00 ", - ," $ 68,583.00 ",585,588,38,127,24.0%,21.6%,21.8%,38.5%
1400000US48201350200,"Census Tract 3502, Harris County, Texas",5744,658,3419,1240,11.5%,59.5%,21.6%,6711,695,3883,1666,10.4%,57.9%,24.8%,1716,30.6%,966,163,385,347,17.2%,16.9%,39.9%,35.9%," $ 72,936.00 "," $ 64,858.00 "," $ 74,360.00 "," $ 84,954.00 ",508,34,767,32,8.8%,3.8%,14.8%,1.8%
1400000US48201340900,"Census Tract 3409, Harris County, Texas",3524,494,1317,1286,14.0%,37.4%,36.5%,3760,515,1330,1409,13.7%,35.4%,37.5%,1245,38.7%,976,97,152,484,30.3%,9.9%,15.6%,49.6%," $ 51,368.00 "," $ 42,639.00 "," $ 57,361.00 "," $ 45,833.00 ",471,112,279,213,13.4%,17.5%,13.4%,12.4%
1400000US48201342100,"Census Tract 3421, Harris County, Texas",2663,54,1413,1074,2.0%,53.1%,40.3%,3128,54,1515,1437,1.7%,48.4%,45.9%,923,33.4%,503,0,153,311,18.2%,0.0%,30.4%,61.8%," $ 74,283.00 ", - ," $ 74,417.00 "," $ 74,278.00 ",269,19,192,187,10.1%,29.7%,8.2%,11.4%
1400000US48201350500,"Census Tract 3505, Harris County, Texas",4992,1082,2719,459,21.7%,54.5%,9.2%,5818,1100,3063,637,18.9%,52.6%,10.9%,1100,23.5%,782,214,139,97,16.7%,27.4%,17.8%,12.4%," $ 49,480.00 "," $ 48,802.00 "," $ 59,413.00 "," $ 44,141.00 ",943,445,839,50,19.0%,30.6%,19.1%,6.7%
1400000US48201410500,"Census Tract 4105, Harris County, Texas",3835,22,756,2772,0.6%,19.7%,72.3%,4186,22,785,3040,0.5%,18.8%,72.6%,2714,71.7%,2547,0,383,1921,67.3%,0.0%,15.0%,75.4%," $ 102,778.00 ", - ," $ 56,161.00 "," $ 113,875.00 ",199,13,41,148,5.2%,59.1%,4.2%,4.5%
1400000US48201411700,"Census Tract 4117, Harris County, Texas",2659,377,580,1355,14.2%,21.8%,51.0%,2757,377,599,1428,13.7%,21.7%,51.8%,1714,75.3%,1616,223,254,939,71.0%,13.8%,15.7%,58.1%," $ 67,700.00 "," $ 67,652.00 "," $ 65,469.00 "," $ 76,392.00 ",133,37,36,60,5.0%,7.0%,5.1%,3.8%
1400000US48201430800,"Census Tract 4308, Harris County, Texas",3463,45,479,2068,1.3%,13.8%,59.7%,4130,45,495,2627,1.1%,12.0%,63.6%,3137,82.1%,3013,45,290,2004,78.9%,1.5%,9.6%,66.5%," $ 120,436.00 ", - ," $ 130,234.00 "," $ 119,868.00 ",133,0,17,80,3.8%,0.0%,2.2%,2.3%
1400000US48201431700,"Census Tract 4317, Harris County, Texas",2179,196,310,1637,9.0%,14.2%,75.1%,3973,196,450,3245,4.9%,11.3%,81.7%,2963,77.9%,2725,100,259,2323,71.6%,3.7%,9.5%,85.2%," $ 188,571.00 "," $ 53,690.00 ", - ," $ 216,458.00 ",178,97,124,122,8.2%,40.8%,25.6%,3.3%
1400000US48201432500,"Census Tract 4325, Harris County, Texas",3821,797,1838,881,20.9%,48.1%,23.1%,4224,849,1933,1107,20.1%,45.8%,26.2%,1313,37.3%,1126,234,311,399,32.0%,20.8%,27.6%,35.4%," $ 28,813.00 "," $ 25,583.00 "," $ 25,313.00 "," $ 36,596.00 ",1307,361,1252,477,34.2%,34.8%,45.3%,37.1%
1400000US48201450200,"Census Tract 4502, Harris County, Texas",2794,91,241,2093,3.3%,8.6%,74.9%,3426,91,272,2657,2.7%,7.9%,77.6%,2523,77.7%,2379,15,76,1971,73.3%,0.6%,3.2%,82.8%," $ 138,500.00 ", - , - ," $ 155,801.00 ",41,0,0,60,1.5%,0.0%,0.0%,1.5%
1400000US48201451800,"Census Tract 4518, Harris County, Texas",3816,1504,1266,569,39.4%,33.2%,14.9%,4468,1592,1464,711,35.6%,32.8%,15.9%,1441,36.4%,1030,335,216,212,26.0%,32.5%,21.0%,20.6%," $ 58,089.00 "," $ 62,153.00 "," $ 41,530.00 "," $ 72,778.00 ",426,98,524,84,11.2%,4.6%,26.3%,9.9%
1400000US48201452600,"Census Tract 4526, Harris County, Texas",5333,1619,1806,213,30.4%,33.9%,4.0%,5799,1691,1874,314,29.2%,32.3%,5.4%,1068,21.4%,743,257,79,119,14.9%,34.6%,10.6%,16.0%," $ 37,337.00 ", - ," $ 38,448.00 "," $ 18,125.00 ",1163,1046,815,432,21.8%,35.9%,28.1%,68.5%
1400000US48201233600,"Census Tract 2336, Harris County, Texas",1218,687,484,42,56.4%,39.7%,3.4%,1395,842,501,42,60.4%,35.9%,3.0%,239,18.4%,166,118,38,5,12.8%,71.1%,22.9%,3.0%," $ 30,272.00 "," $ 27,151.00 "," $ 31,287.00 ", - ,478,466,391,27,39.2%,44.1%,42.3%,44.3%
1400000US48201240400,"Census Tract 2404, Harris County, Texas",4376,1092,2583,646,25.0%,59.0%,14.8%,5160,1147,2821,1118,22.2%,54.7%,21.7%,1181,25.6%,951,359,163,415,20.6%,37.7%,17.1%,43.6%," $ 52,276.00 "," $ 61,486.00 "," $ 47,639.00 "," $ 44,136.00 ",596,472,1473,149,13.6%,23.8%,30.9%,11.6%
1400000US48201252700,"Census Tract 2527, Harris County, Texas",2408,237,642,1454,9.8%,26.7%,60.4%,3032,246,715,1996,8.1%,23.6%,65.8%,527,19.7%,320,54,0,228,12.0%,16.9%,0.0%,71.3%," $ 42,403.00 ", - ," $ 24,583.00 "," $ 51,768.00 ",328,36,452,137,13.6%,12.6%,37.0%,5.4%
1400000US48201252800,"Census Tract 2528, Harris County, Texas",4207,1239,1775,955,29.5%,42.2%,22.7%,5022,1608,1847,1317,32.0%,36.8%,26.2%,683,15.0%,375,239,25,111,8.2%,63.7%,6.7%,29.6%," $ 52,930.00 "," $ 34,425.00 "," $ 52,500.00 "," $ 62,346.00 ",749,517,711,87,17.8%,22.2%,25.8%,5.5%
1400000US48201253100,"Census Tract 2531, Harris County, Texas",6774,1354,2861,2023,20.0%,42.2%,29.9%,7530,1393,3209,2392,18.5%,42.6%,31.8%,1938,30.7%,1318,372,368,305,20.9%,28.2%,27.9%,23.1%," $ 110,276.00 "," $ 111,375.00 "," $ 102,520.00 "," $ 114,150.00 ",141,0,138,151,2.1%,0.0%,2.8%,4.6%
1400000US48201310100,"Census Tract 3101, Harris County, Texas",4021,1274,1592,893,31.7%,39.6%,22.2%,4274,1343,1703,966,31.4%,39.8%,22.6%,2046,54.1%,1650,443,435,627,43.6%,26.8%,26.4%,38.0%," $ 66,221.00 ", - ," $ 48,750.00 "," $ 92,656.00 ",1086,1134,517,146,27.0%,62.4%,23.4%,15.1%
1400000US48201411400,"Census Tract 4114, Harris County, Texas",1391,9,80,1233,0.6%,5.8%,88.6%,2239,26,109,2035,1.2%,4.9%,90.9%,1667,79.8%,1657,10,42,1546,79.3%,0.6%,2.5%,93.3%," $ 224,500.00 ", - , - ," $ 215,250.00 ",15,10,0,24,1.1%,38.5%,0.0%,1.0%
1400000US48201420500,"Census Tract 4205, Harris County, Texas",2143,383,1603,115,17.9%,74.8%,5.4%,2402,490,1663,196,20.4%,69.2%,8.2%,316,14.5%,233,69,123,19,10.7%,29.6%,52.8%,8.2%," $ 31,076.00 "," $ 38,421.00 "," $ 29,746.00 ", - ,555,170,1092,166,26.0%,28.6%,37.8%,64.1%
1400000US48201220400,"Census Tract 2204, Harris County, Texas",2554,78,2354,102,3.1%,92.2%,4.0%,3026,78,2754,170,2.6%,91.0%,5.6%,197,7.4%,110,0,81,21,4.1%,0.0%,73.6%,19.1%," $ 38,640.00 "," $ 18,704.00 "," $ 40,321.00 "," $ 24,583.00 ",536,132,1121,22,21.0%,79.5%,29.4%,12.4%
1400000US48201332900,"Census Tract 3329, Harris County, Texas",2897,116,2581,155,4.0%,89.1%,5.4%,3348,158,2853,292,4.7%,85.2%,8.7%,249,9.0%,150,7,71,65,5.4%,4.7%,47.3%,43.3%," $ 36,346.00 "," $ 26,446.00 "," $ 37,332.00 ", - ,738,95,1509,72,26.0%,79.2%,32.4%,30.3%
1400000US48201410300,"Census Tract 4103, Harris County, Texas",2184,66,374,1388,3.0%,17.1%,63.6%,2736,87,398,1825,3.2%,14.5%,66.7%,2002,77.6%,1925,66,226,1370,74.6%,3.4%,11.7%,71.2%," $ 111,299.00 ", - ," $ 111,250.00 "," $ 110,833.00 ",137,0,12,147,6.3%,0.0%,2.9%,8.0%
1400000US48201430400,"Census Tract 4304, Harris County, Texas",1732,20,154,1315,1.2%,8.9%,75.9%,2649,20,219,2037,0.8%,8.3%,76.9%,2094,86.1%,2065,0,154,1570,84.9%,0.0%,7.5%,76.0%," 250,000+ ", - ," $ 216,413.00 "," 250,000+ ",76,0,0,138,4.4%,0.0%,0.0%,5.5%
1400000US48201433400,"Census Tract 4334, Harris County, Texas",3241,608,2059,317,18.8%,63.5%,9.8%,3545,635,2084,455,17.9%,58.8%,12.8%,661,21.0%,454,86,122,135,14.4%,18.9%,26.9%,29.7%," $ 32,083.00 "," $ 24,858.00 "," $ 31,006.00 "," $ 63,750.00 ",868,386,986,125,26.8%,48.6%,32.6%,23.8%
1400000US48201452300,"Census Tract 4523, Harris County, Texas",1585,234,667,241,14.8%,42.1%,15.2%,1950,270,787,276,13.8%,40.4%,14.2%,452,28.0%,373,84,80,66,23.1%,22.5%,21.4%,17.7%," $ 36,688.00 "," $ 33,827.00 "," $ 45,278.00 "," $ 57,292.00 ",306,58,108,31,19.3%,13.9%,10.5%,10.6%
1400000US48201241300,"Census Tract 2413, Harris County, Texas",7143,1449,1690,3267,20.3%,23.7%,45.7%,8541,1553,1894,4285,18.2%,22.2%,50.2%,3693,47.4%,2945,733,363,1598,37.8%,24.9%,12.3%,54.3%," $ 96,536.00 "," $ 99,474.00 "," $ 76,800.00 "," $ 106,648.00 ",472,150,524,229,6.6%,6.2%,18.7%,4.5%
1400000US48201253000,"Census Tract 2530, Harris County, Texas",2769,854,1098,803,30.8%,39.7%,29.0%,3198,985,1191,989,30.8%,37.2%,30.9%,520,18.7%,226,83,74,62,8.1%,36.7%,32.7%,27.4%," $ 53,313.00 "," $ 33,889.00 "," $ 60,029.00 "," $ 66,765.00 ",492,189,555,104,17.8%,16.3%,29.1%,7.7%
1400000US48201310900,"Census Tract 3109, Harris County, Texas",3135,63,2891,144,2.0%,92.2%,4.6%,3746,63,3487,159,1.7%,93.1%,4.2%,486,14.6%,361,2,304,24,10.8%,0.6%,84.2%,6.6%," $ 28,750.00 "," $ 15,163.00 "," $ 29,115.00 "," $ 23,472.00 ",880,95,1915,108,28.1%,87.2%,38.1%,62.4%
1400000US48201552200,"Census Tract 5522, Harris County, Texas",4703,782,1459,2006,16.6%,31.0%,42.7%,5477,803,1577,2548,14.7%,28.8%,46.5%,1496,30.8%,1250,181,208,505,25.7%,14.5%,16.6%,40.4%," $ 59,716.00 "," $ 33,738.00 "," $ 43,352.00 "," $ 73,471.00 ",542,132,561,175,11.5%,9.6%,21.2%,5.9%
1400000US48201310300,"Census Tract 3103, Harris County, Texas",3336,191,2380,685,5.7%,71.3%,20.5%,3864,191,2780,813,4.9%,71.9%,21.0%,908,26.2%,707,104,165,386,20.4%,14.7%,23.3%,54.6%," $ 43,992.00 "," $ 32,743.00 "," $ 43,853.00 "," $ 52,981.00 ",658,25,824,37,19.7%,11.1%,22.8%,4.1%
1400000US48201311500,"Census Tract 3115, Harris County, Texas",4282,107,4017,127,2.5%,93.8%,3.0%,5421,144,5000,224,2.7%,92.2%,4.1%,589,11.7%,291,89,156,46,5.8%,30.6%,53.6%,15.8%," $ 44,170.00 "," $ 53,990.00 "," $ 43,987.00 "," $ 60,385.00 ",713,0,1591,34,16.7%,0.0%,22.9%,14.6%
1400000US48201311900,"Census Tract 3119, Harris County, Texas",1612,58,1361,148,3.6%,84.4%,9.2%,1906,58,1638,165,3.0%,85.9%,8.7%,138,8.4%,123,0,69,23,7.5%,0.0%,56.1%,18.7%," $ 43,295.00 "," $ 6,696.00 "," $ 45,536.00 ", - ,321,93,440,56,19.9%,93.9%,19.3%,32.4%
1400000US48201312500,"Census Tract 3125, Harris County, Texas",2922,373,594,1587,12.8%,20.3%,54.3%,3061,437,609,1642,14.3%,19.9%,53.6%,1741,65.3%,1642,110,254,982,61.6%,6.7%,15.5%,59.8%," $ 94,337.00 ", - ," $ 90,446.00 "," $ 125,799.00 ",494,250,174,123,17.0%,52.2%,26.1%,7.0%
1400000US48201313300,"Census Tract 3133, Harris County, Texas",1278,855,250,124,66.9%,19.6%,9.7%,1921,1445,286,132,75.2%,14.9%,6.9%,460,26.0%,387,315,0,48,21.9%,81.4%,0.0%,12.4%," $ 42,879.00 "," $ 40,625.00 ", - ," $ 114,286.00 ",333,375,190,12,26.1%,20.7%,48.8%,6.9%
1400000US48201330400,"Census Tract 3304, Harris County, Texas",3029,1304,1659,74,43.1%,54.8%,2.4%,3610,1669,1841,122,46.2%,51.0%,3.4%,505,16.6%,261,209,36,16,8.6%,80.1%,13.8%,6.1%," $ 41,701.00 "," $ 32,165.00 "," $ 53,750.00 ", - ,515,298,729,25,17.0%,14.4%,27.2%,16.7%
1400000US48201321000,"Census Tract 3210, Harris County, Texas",5619,138,4798,550,2.5%,85.4%,9.8%,6269,211,5023,931,3.4%,80.1%,14.9%,645,12.2%,363,55,200,79,6.9%,15.2%,55.1%,21.8%," $ 50,068.00 ", - ," $ 50,833.00 "," $ 38,424.00 ",884,0,1646,250,15.7%,0.0%,20.8%,26.1%
1400000US48201322700,"Census Tract 3227, Harris County, Texas",4525,55,3501,986,1.2%,77.4%,21.8%,5152,55,3856,1258,1.1%,74.8%,24.4%,1159,25.7%,603,0,499,87,13.4%,0.0%,82.8%,14.4%," $ 54,627.00 ", - ," $ 54,427.00 "," $ 61,827.00 ",489,88,588,155,10.8%,50.6%,9.5%,10.2%
1400000US48201323600,"Census Tract 3236, Harris County, Texas",4679,178,2705,1566,3.8%,57.8%,33.5%,5887,219,2943,2395,3.7%,50.0%,40.7%,1327,26.6%,964,38,282,525,19.3%,3.9%,29.3%,54.5%," $ 51,630.00 "," $ 41,306.00 "," $ 61,250.00 "," $ 42,036.00 ",633,0,636,414,13.5%,0.0%,14.3%,15.3%
1400000US48201332400,"Census Tract 3324, Harris County, Texas",2329,1714,382,40,73.6%,16.4%,1.7%,3185,2570,382,40,80.7%,12.0%,1.3%,231,8.1%,156,153,3,0,5.5%,98.1%,1.9%,0.0%," $ 34,270.00 "," $ 32,126.00 "," $ 48,347.00 ", - ,316,542,5,3,13.7%,17.6%,0.9%,7.5%
1400000US48201333300,"Census Tract 3333, Harris County, Texas",6699,1037,5041,442,15.5%,75.3%,6.6%,7374,1155,5486,538,15.7%,74.4%,7.3%,558,9.3%,439,142,202,91,7.3%,32.3%,46.0%,20.7%," $ 34,469.00 "," $ 14,438.00 "," $ 42,024.00 ", - ,1667,690,2386,82,24.9%,47.6%,28.9%,14.1%
1400000US48201333800,"Census Tract 3338, Harris County, Texas",7143,1299,5223,556,18.2%,73.1%,7.8%,8079,1466,5788,760,18.1%,71.6%,9.4%,1023,14.7%,640,408,189,82,9.2%,63.8%,29.5%,12.8%," $ 52,811.00 "," $ 51,725.00 "," $ 52,431.00 "," $ 71,731.00 ",1241,366,1451,117,17.4%,21.2%,17.4%,14.2%
